Time;Porto_Velho;Ariquimes;Cacoal
01/09/2011 00:00;29.591547;29.3709049;29.2362919
01/10/2011 00:00;29.0471745;27.6793156;28.506464
01/11/2011 00:00;27.6220341;27.7571964;28.2429752
01/12/2011 00:00;26.2841129;26.0187626;26.27215
01/01/2012 00:00;25.1543827;24.7856083;25.1110477
01/02/2012 00:00;24.4186039;24.4637089;24.7728825
01/03/2012 00:00;25.3801212;24.7070866;25.0819645
01/04/2012 00:00;26.3823185;25.1709232;25.5520267
01/05/2012 00:00;26.1538334;24.7327213;25.2571964
01/06/2012 00:00;27.0254459;24.4834232;25.0156193
01/07/2012 00:00;27.5581303;24.7835636;24.5591373
01/08/2012 00:00;30.0912418;27.990839;26.8088322
01/09/2012 00:00;30.8453922;29.7046146;28.9681644
01/10/2012 00:00;28.2101383;28.9849491;28.1545963
01/11/2012 00:00;26.3363285;28.2464542;28.0672245
01/12/2012 00:00;25.3826237;26.5658817;26.5571537
01/01/2013 00:00;25.2775517;25.6311893;26.1975346
01/02/2013 00:00;24.68783;25.1082401;25.4195499
01/03/2013 00:00;25.3630619;25.4465275;25.8194523
01/04/2013 00:00;24.8107548;25.1581059;25.6126957
01/05/2013 00:00;24.5983219;25.1430912;25.835535
01/06/2013 00:00;25.1437626;25.2650394;26.7995243
01/07/2013 00:00;25.4069767;26.132349;26.9468327
01/08/2013 00:00;27.0520878;28.1038151;28.6201725
01/09/2013 00:00;29.5694218;29.4355717;29.2741032
01/10/2013 00:00;27.5833988;27.4273624;28.0908146
01/11/2013 00:00;25.4126835;25.6227665;26.3026981
01/12/2013 00:00;25.1429081;25.3051395;25.8853703
01/01/2014 00:00;24.4894047;24.8954411;25.3134098
01/02/2014 00:00;24.6160221;24.861414;25.3536625
01/03/2014 00:00;24.9016972;25.1812077;25.4262638
01/04/2014 00:00;25.0493717;25.2241459;25.4837589
01/05/2014 00:00;24.3593388;24.8744755;25.2551517
01/06/2014 00:00;24.218195;24.930994;25.5999393
01/07/2014 00:00;24.815424;25.2348576;26.3839664
01/08/2014 00:00;27.5017033;28.1882877;28.8135014
01/09/2014 00:00;29.5892582;28.9382267;29.4798222
01/10/2014 00:00;29.9058475;29.0450687;28.0539188
01/11/2014 00:00;26.5964298;26.856348;26.8767948
01/12/2014 00:00;25.1892643;25.7884159;26.6812077
01/01/2015 00:00;24.797266;25.3773441;25.837244
01/02/2015 00:00;25.1751957;25.731287;26.4780521
01/03/2015 00:00;25.0685673;25.4947147;26.2254276
01/04/2015 00:00;24.9423466;25.3903751;26.2471561
01/05/2015 00:00;25.0171452;25.1852665;26.3644352
01/06/2015 00:00;26.3748417;26.759943;28.0219669
01/07/2015 00:00;27.6752567;28.5743961;30.062006
01/08/2015 00:00;30.8794498;31.4369144;32.4103622
01/09/2015 00:00;33.2357712;32.8442612;33.4634628
01/10/2015 00:00;32.8399582;31.1224308;31.531641
01/11/2015 00:00;29.9619389;30.0129948;30.0127506
01/12/2015 00:00;29.0671635;27.9024906;27.0676517
01/01/2016 00:00;27.3672733;26.7357731;26.7748051
01/02/2016 00:00;26.3840885;26.233057;26.5607853
01/03/2016 00:00;25.7896671;25.945734;26.4468937
01/04/2016 00:00;25.444788;25.7074833;26.0356693
01/05/2016 00:00;25.2702885;25.2746525;25.7842045
01/06/2016 00:00;26.2471256;24.624445;25.3161869
01/07/2016 00:00;28.1252384;27.6855106;28.1770267
01/08/2016 00:00;30.1047916;29.3019047;29.4937687
01/09/2016 00:00;29.3688602;29.0992069;29.2493534
01/10/2016 00:00;29.4999943;29.1529179;29.4933414
01/11/2016 00:00;26.3469486;28.4581852;28.6911259
01/12/2016 00:00;25.384058;26.6046696;27.1225224
01/01/2017 00:00;24.99856;25.2806034;25.8174686
01/02/2017 00:00;24.8850956;25.0767155;25.3662968
01/03/2017 00:00;25.2568607;25.3619633;25.5876408
01/04/2017 00:00;24.9101505;25.1208134;25.4945621
01/05/2017 00:00;25.3773746;25.9532719;26.1145878
01/06/2017 00:00;24.3541813;26.780756;26.0094547
01/07/2017 00:00;25.5838566;27.673151;27.5945988
01/08/2017 00:00;28.9817448;30.1764164;29.723505
01/09/2017 00:00;29.902216;29.7377872;29.7409611
01/10/2017 00:00;28.298914;28.3183231;28.3789921
01/11/2017 00:00;27.1721439;27.4825077;27.6250553
01/12/2017 00:00;25.5932865;26.1533451;26.4835758
01/01/2018 00:00;24.8479252;24.9680729;25.2556095
01/02/2018 00:00;25.064539;25.0807438;25.4654179
01/03/2018 00:00;25.3573856;25.4435368;25.718256
01/04/2018 00:00;25.2687321;25.2051334;25.516016
01/05/2018 00:00;25.8524418;24.9610233;25.2656498
01/06/2018 00:00;25.530695;25.2924442;24.3645573
01/07/2018 00:00;27.2375126;27.4860783;26.8643131
01/08/2018 00:00;28.8093815;28.8096256;28.3522282
01/09/2018 00:00;29.404047;29.2311344;29.2462711
01/10/2018 00:00;27.6374454;29.0600834;29.1195011
01/11/2018 00:00;26.1115665;27.1227665;27.5945072
01/12/2018 00:00;25.1019535;25.1545963;26.0434818
01/01/2019 00:00;24.8034;24.968195;25.4349613
01/02/2019 00:00;25.2521;25.3283329;25.8536015
01/03/2019 00:00;25.2271061;25.4230595;25.8803654
01/04/2019 00:00;25.0944157;25.7143192;25.9828434
01/05/2019 00:00;24.6331425;25.334589;25.9173832
01/06/2019 00:00;25.3051395;25.1748295;26.0695438
01/07/2019 00:00;26.7888737;27.210413;27.9762211
01/08/2019 00:00;28.8229313;28.5414066;29.1851749
01/09/2019 00:00;31.7059574;31.1412601;31.3303165
01/10/2019 00:00;28.238306;28.4094486;28.6128483
01/11/2019 00:00;27.3002262;27.3370609;27.7384586
01/12/2019 00:00;26.6119938;26.2174931;26.6859074
